Id,Label,lat,lon
415052,Pance,45.988628,14.66366
203212,Kranjčeva,46.070721,14.525866
203242,BTC-Merkur,46.063812,14.547686
804241,STANEŽIČE P+R,46.106018,14.448266
204371,Za travniki,46.073875,14.588079
104341,Sp. Gameljne 2,46.120613,14.503759
805021,Medvode,46.141193,14.410758
204153,Šentjakob,46.090378,14.582712
704152,Cesta v Gorice,46.032341,14.464224
102011,Samova,46.067104,14.505334
403011,Jana Husa,46.053238,14.532815
614072,Lipe,45.997776,14.470941
804221,PODUTIK,46.074604,14.443898
604062,Ižica,46.004017,14.51543
815032,KS. Pirniče,46.137177,14.433927
102022,Topniška,46.06707,14.514739
304092,Cesta na Vevče,46.053875,14.58887
625042,Kot,45.951038,14.511849
204322,Sneberska,46.070267,14.596983
704162,C. dveh cesarjev,46.030853,14.479537
203161,Nove Jarše,46.070415,14.548994
415041,Selo,45.999302,14.657207
406061,Volavlje,46.032074,14.717381
503032,Akademija,46.032436,14.528572
402041,Bolnica,46.054237,14.528111
815021,Sp. Pirniče,46.134277,14.43896
704023,Brdo,46.047489,14.45362
703211,I. Kobilca,46.041664,14.463603
405101,Tinčk,46.038151,14.648045
203031,Tomačevska,46.069485,14.527669
614012,Plečnikova cerkev,46.012211,14.506648
404151,Zadvor-2,46.036057,14.596165
703121,Živalski vrt-ZOO,46.052132,14.472137
204111,Slovenijales,46.093906,14.552617
104352,Sp. Gameljne 3,46.123466,14.502864
103191,Božičeva,46.075722,14.520837
204441,Prelog Mngan,46.129093,14.611197
703052,Podmornica,46.047398,14.464309
204431,Prelog,46.123665,14.614361
502032,Streliška,46.044979,14.518373
204481,Dragomelj - 1,46.110229,14.593383
204472,Študa trgovina,46.129669,14.595061
204282,Pod Debnim vrhom,46.063335,14.624534
204072,Sneberje,46.076637,14.568354
404071,Cesta v Zavoglje,46.04026,14.602519
403031,Pod Golovcem,46.048561,14.529891
405111,BESNICA obrač.,46.035427,14.654818
204181,Center Zalog,46.060871,14.613598
804152,Tacen,46.120155,14.466866
104072,Šlandrova,46.097786,14.535887
304132,Silos,46.05777,14.60659
504082,Lavrica pri Malči,46.001583,14.554269
603101,Ilovica,46.027355,14.511669
625031,Staje,45.957378,14.513561
815191,Goričane pod gradom,46.140141,14.399461
104332,Sp. Gameljne 1,46.118088,14.505476
804412,Krivec,46.077991,14.45547
406052,Smrekarjevo,46.028904,14.726546
602041,Tobačna,46.047043,14.494323
