Source,Target,Type,Weight,EdgeType,routes,dist_m
602031,602041,Directed,58.06,BUS,"1, 1B, 6, 6B, N1",0.0
602031,603011,Directed,335.62,WALK,,277.7
602031,602032,Directed,145.14,WALK,,32.0
602031,602042,Directed,251.08,WALK,,268.6
103201,803211,Directed,159.61,BUS,"18L, 3, 3B, N3",0.0
103201,103203,Directed,558.1,WALK,,72.6
103201,103202,Directed,545.44,WALK,,54.9
803016,803082,Directed,83.72,BUS,"18, 18L, 22, 5, N5",0.0
803016,803014,Directed,141.06,WALK,,61.3
803016,803012,Directed,171.92,WALK,,117.4
803016,803011,Directed,112.97,WALK,,105.7
402021,301011,Directed,135.0,BUS,"25, 9",0.0
402021,402012,Directed,355.56,WALK,,180.6
402021,402022,Directed,160.22,WALK,,35.3
402021,402032,Directed,193.78,WALK,,200.5
402021,402031,Directed,292.41,WALK,,174.3
402021,402011,Directed,388.24,WALK,,226.3
602021,601011,Directed,23.11,BUS,"1, 11, 11B, 19B, 19I, 1B, 2, 27, 3, 3B, 6, 6B, 9, N1, N3, N3B",0.0
602021,601011,Directed,210.66,WALK,,267.8
602021,601012,Directed,218.73,WALK,,205.0
602021,602022,Directed,187.65,WALK,,107.8
601011,600021,Directed,19.41,BUS,"1, 11, 11B, 14, 18, 18L, 19B, 19I, 1B, 2, 27, 3, 3B, 6, 6B, 9, N1, N3, N3B",0.0
601011,600021,Directed,1159.79,WALK,,197.2
601011,602021,Directed,214.36,WALK,,267.8
601011,601012,Directed,117.55,WALK,,63.3
601011,600022,Directed,170.37,WALK,,211.2
203081,203071,Directed,229.79,BUS,"19B, 19I",0.0
203171,203161,Directed,225.0,BUS,2,0.0
203171,203161,Directed,200.47,WALK,,168.1
704061,704101,Directed,356.04,BUS,6B,0.0
704061,704062,Directed,408.58,WALK,,73.5
803221,703121,Directed,272.27,BUS,"18, 18L",0.0
803221,803222,Directed,283.39,WALK,,15.6
803221,803132,Directed,333.64,WALK,,297.8
626011,625051,Directed,469.57,BUS,19I,0.0
503014,603122,Directed,241.79,BUS,27,0.0
503014,503011,Directed,186.11,WALK,,101.9
503014,503012,Directed,301.54,WALK,,123.7
504022,504031,Directed,395.12,BUS,"3, N3",0.0
504022,504032,Directed,462.86,BUS,"3B, N3B",0.0
504022,504021,Directed,286.91,WALK,,103.3
703222,704032,Directed,218.92,BUS,14,0.0
703222,703211,Directed,426.69,WALK,,290.9
703222,703212,Directed,408.29,WALK,,265.1
703222,703221,Directed,229.62,WALK,,15.0
402012,502014,Directed,226.57,BUS,"5, N5",0.0
402012,502014,Directed,341.31,WALK,,295.5
402012,402021,Directed,263.98,WALK,,180.6
402012,402022,Directed,238.95,WALK,,145.5
402012,502013,Directed,362.97,WALK,,286.2
402012,402032,Directed,208.58,WALK,,221.3
402012,402031,Directed,308.93,WALK,,197.4
402012,402011,Directed,301.54,WALK,,105.0
201011,101031,Directed,327.27,BUS,"11B, 12D",0.0
201011,201012,Directed,373.25,WALK,,24.1
202062,202051,Directed,225.0,BUS,2,0.0
202062,202051,Directed,428.4,WALK,,284.8
202062,202082,Directed,106.93,BUS,"22, 24, 7",0.0
202062,202082,Directed,318.24,WALK,,206.4
202062,202061,Directed,404.33,WALK,,115.3
601012,602022,Directed,23.29,BUS,"1, 11, 11B, 19B, 19I, 1B, 2, 27, 3, 3B, 6, 6B, 9, N3, N3B",0.0
601012,602012,Directed,121.35,BUS,"14, 18, 18L",0.0
601012,600021,Directed,1204.97,WALK,,260.5
601012,602021,Directed,169.52,WALK,,205.0
601012,601011,Directed,64.64,WALK,,63.3
601012,600022,Directed,215.47,WALK,,274.3
503051,603151,Directed,241.79,BUS,27,0.0
503051,503052,Directed,311.02,WALK,,96.9
402022,402032,Directed,135.0,BUS,"25, 9",0.0
402022,402032,Directed,184.85,WALK,,188.0
402022,402021,Directed,160.22,WALK,,35.3
402022,402012,Directed,330.52,WALK,,145.5
402022,402031,Directed,282.44,WALK,,160.3
402022,402011,Directed,367.84,WALK,,197.8
804202,804212,Directed,211.76,BUS,"23, 5, N5",0.0
804202,804211,Directed,371.19,WALK,,223.2
804202,804201,Directed,1791.02,WALK,,80.8
804202,804193,Directed,3393.41,WALK,,214.8
804202,804191,Directed,408.07,WALK,,254.1
203101,203091,Directed,60.34,BUS,"12D, 2, 24, 27, 7",0.0
203101,203091,Directed,238.65,WALK,,249.6
203101,203102,Directed,180.85,WALK,,140.6
203101,203092,Directed,235.18,WALK,,103.7
104181,104171,Directed,790.24,BUS,21D,0.0
104181,104182,Directed,831.79,WALK,,58.2
